date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:54	21438/21438	---M--	200	added ('OK')	application/javascript	etag:%2265449a1a-53be%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/jquery/ui/core.min3f14.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:55	143709/143709	---M--	200	added ('OK')	application/javascript	etag:%2265449932-2315d%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/swiper/v8/swiper.min94a4.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:55	2620/2620	---M--	200	added ('OK')	application/javascript	etag:%2265449931-a3c%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.16.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/share-link/share-link.minafc7.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:55	10749/10749	---M--	200	added ('OK')	application/javascript	etag:%226544992f-29fd%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.9.0	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/dialog/dialog.mind227.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:55	40436/40436	---M--	200	added ('OK')	application/javascript	etag:%226544992c-9df4%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/frontend.min.js?ver=3.16.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/frontend.minafc7.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:56	207639/207639	---M--	200	added ('OK')	application/javascript	etag:%2265449944-32b17%22	https://sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js?ver=3.16.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min6b60.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:56	41954/41954	---M--	200	added ('OK')	application/javascript	etag:%226544992c-a3e2%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/preloaded-modules.min.js?ver=3.16.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/preloaded-modules.minafc7.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:56	3721/3721	---M--	200	added ('OK')	application/javascript	etag:%2265449946-e89%22	https://sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.16.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min6b60.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:56	36845/36845	---M--	200	added ('OK')	application/javascript	etag:%2265449983-8fed%22	https://sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/js/min/frontend.min.js?ver=2.10.1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/js/min/frontend.min3894.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:57	40063/40063	---M--	200	added ('OK')	application/javascript	etag:%2265449985-9c7f%22	https://sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/lib/tooltipster/tooltipster.min.js?ver=2.10.1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/lib/tooltipster/tooltipster.min3894.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:57	249374/249374	---M--	200	added ('OK')	image/jpeg	etag:%22654499e4-3ce1e%22	https://sleepyjoes.co.uk/web/app/uploads/2023/10/one-bedroom-4th.jpg	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/2023/10/one-bedroom-4th.jpg	(from https://sleepyjoes.co.uk/web/app/uploads/elementor/css/post-210.css?ver=1699811535)
00:07:58	399222/399222	---M--	200	added ('OK')	image/jpeg	etag:%22654499e3-61776%22	https://sleepyjoes.co.uk/web/app/uploads/2023/10/one-bedroom-1st-picture.jpg	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/2023/10/one-bedroom-1st-picture.jpg	(from https://sleepyjoes.co.uk/web/app/uploads/elementor/css/post-210.css?ver=1699811535)
